Station,oakisland_west
DateTime,2023-06-04 14:12:00
TideLvl (m),0.406
Transects,64
""
Transect #,Width (pixels)
0,nan
1,nan
2,227.82697947214092
3,255.87536656891507
4,309.7624633431087
5,350.31085043988287
6,401.6979472140765
7,436.24633431085067
8,434.6334310850441
9,529.1818181818182
10,575.5689149560119
11,623.117302052786
12,657.5043988269797
13,616.0527859237538
14,433.4860291223929
15,614.1223927587566
16,612.7587563951201
17,476.74360487996864
18,655.8799685163322
19,654.3648170011807
20,497.0011806375444
21,653.4860291223929
22,518.1223927587564
23,516.6072412436049
24,515.2436048799686
25,559.7284533648171
26,568.8648170011807
27,536.3496654860292
28,586.4860291223929
29,541.0275974025974
30,494.11093073593065
31,491.86093073593065
32,489.3609307359309
33,414.7775974025976
34,412.2775974025976
35,522.0275974025976
36,519.5275974025976
37,408.2775974025976
38,405.7775974025976
39,1717.5275974025976
40,1544.8457792207794
41,1588.7597402597405
42,1520.426406926407
43,1313.093073593074
44,1383.6264069264073
45,1243.6839826839828
46,1296.0930735930738
47,1226.2597402597405
48,1125.90679908327
49,1116.9264069264073
50,966.5734657499366
51,1025.541353383459
52,974.2255639097748
53,860.0913533834589
54,852.2255639097748
55,778.3984962406018
56,732.0033416875526
57,698.5413533834592
58,647.5755639097747
59,584.4097744360906
60,412.77365491651244
61,434.91651205936955
62,392.63079777365533
63,344.77365491651244
64,nan
65,nan
